"logit_1_0";"X_INDEX";"Y_INDEX"
0;507500;4772500
0;199500;4811500
0;298500;4032500
0;295500;4361500
0;282500;4047500
0;74500;4643500
0;329500;4803500
0;281500;4749500
0;210500;4417500
0;356500;4063500
0;201500;4669500
0;516500;4788500
0;482500;4138500
0;178500;4503500
0;179500;4676500
0;335500;4752500
0;799500;4695500
0;209500;4576500
0;202500;4674500
0;431500;4791500
0;205500;4672500
0;803500;4743500
0;25500;4739500
0;227500;4728500
0;296500;4743500
0;411500;4318500
0;127500;4699500
0;266500;4472500
0;193500;4654500
0;554500;4784500
0;683500;4380500
0;451500;4232500
0;211500;4774500
0;414500;4503500
0;361500;4773500
0;335500;4476500
0;359500;4053500
0;321500;4803500
0;73500;4712500
0;455500;4522500
0;405500;4254500
0;265500;4018500
0;315500;4744500
0;333500;4480500
0;247500;4641500
0;152500;4338500
0;465500;4733500
0;202500;4757500
0;353500;4447500
0;224500;4811500
0;816500;4575500
0;210500;4793500
0;200500;4127500
0;405500;4755500
0;184500;4787500
0;9500;4734500
0;218500;4809500
0;452500;4464500
0;392500;4580500
0;817500;4684500
0;330500;4811500
0;428500;4803500
0;273500;4784500
0;625500;4778500
0;53500;4724500
0;284500;4756500
0;585500;4388500
0;275500;4419500
0;146500;4214500
0;505500;4773500
0;158500;4182500
0;241500;4808500
0;765500;4586500
0;207500;4384500
0;283500;4798500
0;370500;4464500
0;225500;4564500
0;201500;4688500
0;173500;4740500
0;418500;4781500
0;382500;4777500
0;266500;4773500
0;218500;4807500
0;233500;4794500
0;211500;4194500
0;455500;4768500
0;190500;4792500
0;219500;4746500
0;366500;4805500
0;375500;4466500
0;257500;4768500
0;137500;4682500
0;197500;4557500
0;222500;4720500
0;206500;4795500
0;227500;4793500
0;300500;4817500
0;83500;4688500
0;359500;4807500
0;199500;4738500
0;195500;4828500
0;494500;4798500
0;297500;4452500
0;265500;4459500
0;705500;4707500
0;388500;4774500
0;289500;4051500
0;387500;4271500
0;832500;4586500
0;324500;4812500
0;384500;4455500
0;187500;4773500
0;119500;4701500
0;437500;4750500
0;924500;4705500
0;167500;4727500
0;222500;4813500
0;145500;4152500
0;223500;4289500
0;237500;4449500
0;505500;4764500
0;330500;4046500
0;190500;4807500
0;277500;4437500
0;430500;4801500
0;489500;4662500
0;526500;4798500
0;281500;4439500
0;189500;4817500
0;220500;4730500
0;435500;4514500
0;445500;4245500
0;838500;4704500
0;626500;4776500
0;279500;4300500
0;190500;4691500
0;622500;4772500
0;403500;4481500
0;235500;4281500
0;301500;4748500
0;189500;4124500
0;585500;4775500
0;142500;4127500
0;131500;4374500
0;385500;4791500
0;182500;4660500
0;487500;4793500
0;278500;4305500
0;912500;4630500
0;145500;4151500
0;194500;4699500
0;220500;4783500
0;171500;4215500
0;211500;4321500
0;177500;4722500
0;202500;4665500
0;600500;4778500
0;113500;4652500
0;756500;4479500
0;234500;4430500
0;239500;4680500
0;343500;4049500
0;470500;4787500
0;133500;4165500
0;217500;4796500
0;198500;4209500
0;303500;4797500
0;203500;4814500
0;326500;4793500
0;284500;4784500
0;168500;4341500
0;164500;4329500
0;386500;4803500
0;178500;4264500
0;592500;4796500
0;569500;4787500
0;323500;4800500
0;238500;4804500
0;437500;4238500
0;230500;4204500
0;352500;4072500
0;454500;4133500
0;213500;4807500
0;273500;4808500
0;276500;4313500
0;272500;4761500
0;235500;4817500
0;307500;4795500
0;190500;4763500
0;236500;4740500
0;284500;4043500
0;180500;4173500
0;461500;4768500
0;215500;4802500
0;315500;4429500
0;237500;4224500
0;318500;4316500
0;191500;4786500
0;453500;4786500
0;311500;4762500
0;755500;4720500
0;256500;4460500
0;299500;4807500
0;375500;4792500
0;358500;4807500
0;209500;4772500
0;9500;4744500
0;227500;4789500
0;234500;4802500
0;252500;4804500
0;226500;4801500
0;219500;4733500
0;374500;4459500
0;300500;4049500
0;296500;4809500
0;149500;4690500
0;435500;4784500
0;412500;4803500
0;205500;4817500
0;532500;4125500
0;390500;4475500
0;416500;4781500
0;207500;4799500
0;181500;4651500
0;573500;4538500
0;825500;4558500
0;200500;4807500
0;623500;4773500
0;200500;4821500
0;182500;4769500
0;298500;4793500
0;289500;4795500
0;273500;4410500
0;195500;4655500
0;254500;4809500
0;673500;4628500
0;253500;4574500
0;14500;4749500
0;140500;4184500
0;593500;4794500
0;353500;4797500
0;327500;4806500
0;489500;4253500
0;882500;4623500
0;113500;4835500
0;407500;4736500
0;181500;4660500
0;193500;4695500
0;540500;4781500
0;343500;4212500
0;74500;4654500
0;307500;4794500
